Store,Date,Temp_Fahrenheit,Fuel_Price_$,Consumer_Price_Index_CPI,Unemployment_Pct,Size_Sq_ft
19,02/07/2010,66.25,2.958,132.522,8.099,203819
35,02/07/2010,76.25,2.815,136.372,8.861,103681
1,02/07/2010,80.91,2.669,211.224,7.787,151315
22,02/07/2010,72.88,2.815,136.372,8.433,119557
34,02/07/2010,73.66,2.668,126.139,9.816,158114
14,02/07/2010,76.61,2.815,182.319,8.743,200898
8,02/07/2010,74.78,2.669,214.593,6.315,155078
40,02/07/2010,65.47,2.815,132.522,5.326,155083
23,02/07/2010,64.76,2.815,132.522,5.326,114533
36,02/07/2010,81.85,2.606,209.984,8.36,39910
27,02/07/2010,76.25,2.958,136.372,7.982,204184
25,02/07/2010,66.42,2.815,204.465,7.527,128107
13,02/07/2010,78.82,2.814,126.139,7.951,219622
39,02/07/2010,81.35,2.669,209.984,8.36,184109
42,02/07/2010,92.89,2.978,126.139,9.199,39690
24,02/07/2010,71.12,2.958,132.522,8.117,203819
3,02/07/2010,82.2,2.669,214.546,7.346,37392
41,02/07/2010,69.39,2.728,189.488,7.335,196321
26,02/07/2010,58.9,2.815,132.522,8.445,152513
5,02/07/2010,81.25,2.669,211.78,6.496,34875
43,02/07/2010,80.17,2.669,203.164,9.816,41062
28,02/07/2010,91.98,3.105,126.139,14.18,206302
12,02/07/2010,91.98,3.105,126.139,14.18,112238
35,02/19/2010,32.44,2.745,135.466,9.262,103681
38,02/19/2010,54.83,2.915,126.526,13.975,39690
27,02/19/2010,32.44,2.909,135.466,8.237,204184
24,02/19/2010,31.05,2.909,131.637,8.326,203819
4,02/19/2010,36.45,2.54,126.526,8.623,205863
20,02/19/2010,25.43,2.745,204.432,8.187,203742
5,02/19/2010,41.14,2.514,211.847,6.566,34875
36,02/19/2010,45.66,2.472,210.045,8.554,39910
42,02/19/2010,58.22,2.915,126.526,9.765,39690
30,02/19/2010,39.75,2.514,210.945,8.324,42988
31,02/19/2010,39.75,2.514,210.945,8.324,203750
33,02/19/2010,62.16,2.915,126.526,10.115,39690
44,02/19/2010,35.7,2.654,126.526,8.119,39910
40,02/19/2010,27.84,2.747,131.637,5.892,155083
16,02/19/2010,21.13,2.55,189.534,7.039,57197
23,02/19/2010,26.7,2.747,131.637,5.892,114533
19,02/19/2010,28.57,2.909,131.637,8.35,203819
10,02/19/2010,58.22,2.915,126.526,9.765,126512
2,02/19/2010,39.69,2.514,210.945,8.324,202307
15,02/19/2010,27.54,2.909,131.637,8.35,123737
43,02/19/2010,48.77,2.514,203.248,9.521,41062
25,02/19/2010,24.16,2.745,204.432,8.187,128107
1,02/19/2010,39.93,2.514,211.289,8.106,151315
21,02/19/2010,39.75,2.514,210.945,8.324,140167
26,02/19/2010,22.62,2.747,131.637,8.488,152513
28,02/19/2010,54.83,2.915,126.526,13.975,206302
12,02/19/2010,54.83,2.915,126.526,13.975,112238
9,02/19/2010,43.06,2.514,214.851,6.415,125833
29,02/19/2010,31.96,2.747,131.637,10.064,93638
45,02/19/2010,31.27,2.745,182.035,8.992,118221
37,02/19/2010,45.66,2.514,210.045,8.554,39910
17,02/19/2010,25.06,2.654,126.526,6.548,93188
22,02/19/2010,31.96,2.747,135.466,8.283,119557
34,02/19/2010,38.36,2.54,126.526,9.521,158114
8,02/19/2010,39.1,2.514,214.666,6.299,155078
11,02/19/2010,48.3,2.514,214.62,7.368,207499
39,02/19/2010,43.96,2.514,210.045,8.554,184109
13,02/19/2010,35.7,2.654,126.526,8.316,219622
41,02/19/2010,24.13,2.55,189.534,7.541,196321
18,02/19/2010,30.91,2.747,131.637,9.202,120653
6,02/19/2010,43.58,2.514,212.816,7.259,202505
32,02/19/2010,29.16,2.55,189.534,9.014,203007
7,02/19/2010,27.28,2.55,189.534,9.014,70713
3,02/19/2010,47.07,2.514,214.62,7.368,37392
14,02/19/2010,31.27,2.745,182.035,8.992,200898
36,02/26/2010,50.87,2.52,210.077,8.554,39910
24,02/26/2010,33.98,2.91,131.686,8.326,203819
15,02/26/2010,29.87,2.91,131.686,8.35,123737
4,02/26/2010,41.36,2.59,126.552,8.623,205863
38,02/26/2010,50.23,2.825,126.552,13.975,39690
32,02/26/2010,26.64,2.586,189.602,9.014,203007
18,02/26/2010,35.42,2.753,131.686,9.202,120653
41,02/26/2010,21.84,2.586,189.602,7.541,196321
13,02/26/2010,29.98,2.667,126.552,8.316,219622
45,02/26/2010,34.89,2.754,182.077,8.992,118221
25,02/26/2010,29.16,2.754,204.463,8.187,128107
17,02/26/2010,15.64,2.667,126.552,6.548,93188
1,02/26/2010,46.63,2.561,211.32,8.106,151315
31,02/26/2010,45.31,2.561,210.976,8.324,203750
40,02/26/2010,33.32,2.753,131.686,5.892,155083
44,02/26/2010,29.98,2.667,126.552,8.119,39910
11,02/26/2010,52.79,2.561,214.648,7.368,207499
43,02/26/2010,48.77,2.561,203.28,9.521,41062
22,02/26/2010,35.98,2.753,135.52,8.283,119557
10,02/26/2010,52.77,2.825,126.552,9.765,126512
42,02/26/2010,52.77,2.825,126.552,9.765,39690
3,02/26/2010,52.05,2.561,214.648,7.368,37392
2,02/26/2010,46.1,2.561,210.976,8.324,202307
19,02/26/2010,30.33,2.91,131.686,8.35,203819
29,02/26/2010,35.98,2.753,131.686,10.064,93638
9,02/26/2010,43.83,2.561,214.878,6.415,125833
27,02/26/2010,36.0,2.91,135.52,8.237,204184
5,02/26/2010,46.7,2.561,211.877,6.566,34875
23,02/26/2010,32.68,2.753,131.686,5.892,114533
20,02/26/2010,32.32,2.754,204.463,8.187,203742
28,02/26/2010,50.23,2.825,126.552,13.975,206302
21,02/26/2010,45.31,2.561,210.976,8.324,140167
33,02/26/2010,56.5,2.825,126.552,10.115,39690
30,02/26/2010,45.31,2.561,210.976,8.324,42988
7,02/26/2010,24.91,2.586,189.602,9.014,70713
14,02/26/2010,34.89,2.754,182.077,8.992,200898
16,02/26/2010,18.12,2.586,189.602,7.039,57197
8,02/26/2010,37.91,2.561,214.694,6.299,155078
35,02/26/2010,36.0,2.754,135.52,9.262,103681
26,02/26/2010,27.32,2.753,131.686,8.488,152513
6,02/26/2010,47.1,2.561,212.845,7.259,202505
12,02/26/2010,50.23,2.825,126.552,13.975,112238
37,02/26/2010,50.87,2.561,210.077,8.554,39910
34,02/26/2010,37.28,2.59,126.552,9.521,158114
39,02/26/2010,49.79,2.561,210.077,8.554,184109
41,03/09/2010,64.13,2.773,190.362,7.335,196321
16,03/09/2010,58.02,2.773,190.362,6.868,57197
12,03/09/2010,83.12,3.087,126.102,14.18,112238
3,03/09/2010,84.16,2.577,214.848,7.346,37392
11,03/09/2010,84.94,2.577,214.848,7.346,207499
33,03/09/2010,90.82,3.087,126.102,9.495,39690
13,03/09/2010,65.71,2.868,126.102,7.951,219622
44,03/09/2010,65.71,2.868,126.102,7.804,39910
34,03/09/2010,72.59,2.584,126.102,9.816,158114
35,03/09/2010,78.52,2.715,136.589,8.861,103681
14,03/09/2010,78.37,2.715,182.604,8.743,200898
32,03/09/2010,70.2,2.773,190.362,9.017,203007
6,03/09/2010,82.15,2.577,213.052,6.973,202505
15,03/09/2010,73.17,2.86,132.725,8.099,123737
36,03/09/2010,82.29,2.533,210.297,8.36,39910
5,03/09/2010,84.06,2.577,212.087,6.496,34875
9,03/09/2010,82.47,2.577,215.078,6.442,125833
25,03/09/2010,71.17,2.715,204.758,7.527,128107
8,03/09/2010,76.14,2.577,214.895,6.315,155078
23,03/09/2010,72.91,2.735,132.725,5.326,114533
24,03/09/2010,73.52,2.86,132.725,8.117,203819
1,03/09/2010,81.21,2.577,211.531,7.787,151315
19,03/09/2010,74.69,2.86,132.725,8.099,203819
2,03/09/2010,81.83,2.577,211.189,8.099,202307
45,03/09/2010,78.37,2.715,182.604,8.743,118221
42,03/09/2010,83.8,3.087,126.102,9.199,39690
38,03/09/2010,83.12,3.087,126.102,14.18,39690
26,03/09/2010,66.93,2.735,132.725,8.445,152513
29,03/09/2010,75.85,2.735,132.725,10.409,93638
10,03/09/2010,83.8,3.087,126.102,9.199,126512
4,03/09/2010,76.8,2.584,126.102,7.372,205863
20,03/09/2010,75.5,2.715,204.758,7.527,203742
21,03/09/2010,82.57,2.577,211.189,8.099,140167
30,03/09/2010,82.57,2.577,211.189,8.099,42988
7,03/09/2010,49.84,2.773,190.362,9.017,70713
39,03/09/2010,82.13,2.577,210.297,8.36,184109
22,03/09/2010,75.85,2.735,136.589,8.433,119557
17,03/09/2010,57.86,2.868,126.102,6.697,93188
40,03/09/2010,70.66,2.735,132.725,5.326,155083
27,03/09/2010,78.52,2.86,136.589,7.982,204184
37,03/09/2010,82.29,2.577,210.297,8.36,39910
31,03/09/2010,82.57,2.577,211.189,8.099,203750
28,03/09/2010,83.12,3.087,126.102,14.18,206302
18,03/09/2010,75.42,2.735,132.725,9.342,120653
43,03/09/2010,80.43,2.577,203.451,9.816,41062
26,03/12/2010,27.73,3.065,132.757,8.149,152513
4,03/12/2010,46.4,2.727,126.731,7.127,205863
12,03/12/2010,43.33,3.041,126.731,14.313,112238
20,03/12/2010,35.47,3.046,204.825,7.484,203742
15,03/12/2010,36.0,3.2,132.757,8.067,123737
27,03/12/2010,41.81,3.2,136.608,8.021,204184
22,03/12/2010,39.42,3.065,136.608,8.572,119557
3,03/12/2010,53.76,2.708,214.915,7.564,37392
23,03/12/2010,34.3,3.065,132.757,5.287,114533
38,03/12/2010,43.33,3.041,126.731,14.313,39690
7,03/12/2010,21.88,2.712,190.993,9.137,70713
34,03/12/2010,34.7,2.727,126.731,10.21,158114
14,03/12/2010,40.93,3.046,182.668,8.724,200898
39,03/12/2010,53.55,2.708,210.376,8.476,184109
9,03/12/2010,49.89,2.708,215.145,6.56,125833
33,03/12/2010,52.82,3.041,126.731,9.265,39690
45,03/12/2010,40.93,3.046,182.668,8.724,118221
8,03/12/2010,42.85,2.708,214.962,6.433,155078
21,03/12/2010,50.43,2.708,211.266,8.163,140167
28,03/12/2010,43.33,3.041,126.731,14.313,206302
36,03/12/2010,54.44,2.694,210.376,8.476,39910
40,03/12/2010,33.6,3.065,132.757,5.287,155083
13,03/12/2010,25.8,2.812,126.731,7.795,219622
5,03/12/2010,51.31,2.708,212.161,6.768,34875
30,03/12/2010,50.43,2.708,211.266,8.163,42988
42,03/12/2010,51.17,3.041,126.731,9.003,39690
32,03/12/2010,35.18,2.712,190.993,9.137,203007
16,03/12/2010,23.68,2.712,190.993,6.986,57197
35,03/12/2010,41.81,3.046,136.608,8.763,103681
2,03/12/2010,49.33,2.708,211.266,8.163,202307
25,03/12/2010,32.41,3.046,204.825,7.484,128107
24,03/12/2010,37.08,3.2,132.757,8.275,203819
37,03/12/2010,54.44,2.708,210.376,8.476,39910
18,03/12/2010,37.09,3.065,132.757,9.331,120653
44,03/12/2010,25.8,2.812,126.731,7.61,39910
10,03/12/2010,51.17,3.041,126.731,9.003,126512
6,03/12/2010,52.3,2.708,213.124,7.007,202505
29,03/12/2010,39.42,3.065,132.757,10.524,93638
31,03/12/2010,50.43,2.708,211.266,8.163,203750
1,03/12/2010,49.27,2.708,211.607,7.838,151315
43,03/12/2010,44.56,2.708,203.571,10.21,41062
41,03/12/2010,33.0,2.712,190.993,7.508,196321
17,03/12/2010,22.47,2.812,126.731,6.885,93188
19,03/12/2010,36.64,3.2,132.757,8.067,203819
11,03/12/2010,55.9,2.708,214.915,7.564,207499
41,03/19/2010,36.7,2.692,189.734,7.541,196321
1,03/19/2010,54.58,2.72,211.216,8.106,151315
23,03/19/2010,43.01,2.834,131.824,5.892,114533
25,03/19/2010,45.0,2.844,204.378,8.187,128107
43,03/19/2010,56.0,2.72,203.195,9.521,41062
14,03/19/2010,48.79,2.844,182.078,8.992,200898
24,03/19/2010,46.09,2.96,131.824,8.326,203819
36,03/19/2010,59.56,2.701,209.98,8.554,39910
35,03/19/2010,49.04,2.844,135.668,9.262,103681
44,03/19/2010,42.49,2.782,126.607,8.119,39910
27,03/19/2010,49.04,2.96,135.668,8.237,204184
26,03/19/2010,35.34,2.834,131.824,8.488,152513
8,03/19/2010,47.26,2.72,214.576,6.299,155078
40,03/19/2010,40.54,2.834,131.824,5.892,155083
12,03/19/2010,59.57,3.054,126.607,13.975,112238
13,03/19/2010,42.49,2.782,126.607,8.316,219622
39,03/19/2010,58.62,2.72,209.98,8.554,184109
17,03/19/2010,33.96,2.782,126.607,6.548,93188
45,03/19/2010,48.79,2.844,182.078,8.992,118221
18,03/19/2010,45.42,2.834,131.824,9.202,120653
32,03/19/2010,42.43,2.692,189.734,9.014,203007
31,03/19/2010,54.68,2.72,210.873,8.324,203750
6,03/19/2010,56.55,2.72,212.735,7.259,202505
19,03/19/2010,43.74,2.96,131.824,8.35,203819
38,03/19/2010,59.57,3.054,126.607,13.975,39690
37,03/19/2010,59.56,2.72,209.98,8.554,39910
4,03/19/2010,55.19,2.743,126.607,8.623,205863
16,03/19/2010,33.45,2.692,189.734,7.039,57197
30,03/19/2010,54.68,2.72,210.873,8.324,42988
33,03/19/2010,64.6,3.054,126.607,10.115,39690
2,03/19/2010,54.52,2.72,210.873,8.324,202307
10,03/19/2010,61.46,3.054,126.607,9.765,126512
20,03/19/2010,47.32,2.844,204.378,8.187,203742
21,03/19/2010,54.68,2.72,210.873,8.324,140167
34,03/19/2010,45.86,2.743,126.607,9.521,158114
22,03/19/2010,46.03,2.834,135.668,8.283,119557
5,03/19/2010,55.46,2.72,211.771,6.566,34875
28,03/19/2010,59.57,3.054,126.607,13.975,206302
9,03/19/2010,53.15,2.72,214.76,6.415,125833
7,03/19/2010,29.04,2.692,189.734,9.014,70713
29,03/19/2010,46.03,2.834,131.824,10.064,93638
15,03/19/2010,44.69,2.96,131.824,8.35,123737
3,03/19/2010,60.42,2.72,214.53,7.368,37392
42,03/19/2010,61.46,3.054,126.607,9.765,39690
11,03/19/2010,61.51,2.72,214.53,7.368,207499
9,03/26/2010,51.8,2.732,214.553,6.415,125833
40,03/26/2010,39.51,2.831,131.863,5.892,155083
12,03/26/2010,60.06,3.083,126.605,13.975,112238
8,03/26/2010,46.51,2.732,214.37,6.299,155078
38,03/26/2010,60.06,3.083,126.605,13.975,39690
4,03/26/2010,39.91,2.752,126.605,8.623,205863
43,03/26/2010,54.53,2.732,203.017,9.521,41062
36,03/26/2010,55.76,2.711,209.787,8.554,39910
7,03/26/2010,23.33,2.717,189.72,9.014,70713
39,03/26/2010,54.83,2.732,209.787,8.554,184109
10,03/26/2010,60.05,2.98,126.605,9.765,126512
44,03/26/2010,41.48,2.819,126.605,8.119,39910
37,03/26/2010,55.76,2.732,209.787,8.554,39910
11,03/26/2010,58.09,2.732,214.324,7.368,207499
16,03/26/2010,29.88,2.717,189.72,7.039,57197
20,03/26/2010,50.49,2.854,204.202,8.187,203742
26,03/26/2010,35.26,2.831,131.863,8.488,152513
34,03/26/2010,42.91,2.752,126.605,9.521,158114
21,03/26/2010,51.66,2.732,210.677,8.324,140167
18,03/26/2010,47.55,2.831,131.863,9.202,120653
15,03/26/2010,39.53,2.963,131.863,8.35,123737
45,03/26/2010,54.36,2.854,181.972,8.992,118221
42,03/26/2010,60.05,2.98,126.605,9.765,39690
29,03/26/2010,48.56,2.831,131.863,10.064,93638
3,03/26/2010,57.06,2.732,214.324,7.368,37392
28,03/26/2010,60.06,3.083,126.605,13.975,206302
23,03/26/2010,38.59,2.831,131.863,5.892,114533
33,03/26/2010,64.09,2.98,126.605,10.115,39690
27,03/26/2010,52.34,2.963,135.707,8.237,204184
22,03/26/2010,48.56,2.831,135.707,8.283,119557
32,03/26/2010,36.59,2.717,189.72,9.014,203007
2,03/26/2010,51.26,2.732,210.677,8.324,202307
17,03/26/2010,35.59,2.819,126.605,6.548,93188
6,03/26/2010,53.74,2.732,212.534,7.259,202505
5,03/26/2010,52.47,2.732,211.572,6.566,34875
13,03/26/2010,41.48,2.819,126.605,8.316,219622
24,03/26/2010,48.87,2.963,131.863,8.326,203819
19,03/26/2010,39.07,2.963,131.863,8.35,203819
1,03/26/2010,51.45,2.732,211.018,8.106,151315
41,03/26/2010,32.3,2.717,189.72,7.541,196321
14,03/26/2010,54.36,2.854,181.972,8.992,200898
35,03/26/2010,52.34,2.854,135.707,9.262,103681
25,03/26/2010,45.84,2.854,204.202,8.187,128107
30,03/26/2010,51.66,2.732,210.677,8.324,42988
31,03/26/2010,51.66,2.732,210.677,8.324,203750
6,04/06/2010,79.44,2.705,212.698,7.092,202505
11,04/06/2010,79.66,2.705,214.496,7.343,207499
10,04/06/2010,82.82,2.941,126.136,9.524,126512
4,04/06/2010,70.83,2.701,126.136,7.896,205863
2,04/06/2010,81.81,2.705,210.834,8.2,202307
20,04/06/2010,72.52,2.847,204.404,7.856,203742
18,04/06/2010,70.28,2.857,132.365,9.269,120653
17,04/06/2010,53.79,2.871,126.136,6.635,93188
31,04/06/2010,82.68,2.705,210.834,8.2,203750
28,04/06/2010,81.39,2.941,126.136,14.099,206302
21,04/06/2010,82.68,2.705,210.834,8.2,140167
45,04/06/2010,75.93,2.847,182.239,8.899,118221
29,04/06/2010,69.49,2.857,132.365,10.16,93638
30,04/06/2010,82.68,2.705,210.834,8.2,42988
19,04/06/2010,68.88,3.006,132.365,8.185,203819
22,04/06/2010,69.49,2.857,136.218,8.348,119557
38,04/06/2010,81.39,2.941,126.136,14.099,39690
9,04/06/2010,79.65,2.705,214.726,6.384,125833
37,04/06/2010,79.93,2.705,209.94,8.464,39910
7,04/06/2010,53.63,2.7,189.423,8.963,70713
26,04/06/2010,58.46,2.857,132.365,8.512,152513
24,04/06/2010,71.99,3.006,132.365,8.211,203819
43,04/06/2010,82.76,2.705,203.122,9.593,41062
14,04/06/2010,75.93,2.847,182.239,8.899,200898
34,04/06/2010,72.17,2.701,126.136,9.593,158114
36,04/06/2010,79.93,2.664,209.94,8.464,39910
41,04/06/2010,60.13,2.7,189.423,7.363,196321
27,04/06/2010,74.29,3.006,136.218,8.058,204184
3,04/06/2010,78.53,2.705,214.496,7.343,37392
12,04/06/2010,81.39,2.941,126.136,14.099,112238
42,04/06/2010,82.82,2.941,126.136,9.524,39690
25,04/06/2010,69.22,2.847,204.404,7.856,128107
8,04/06/2010,75.71,2.705,214.542,6.29,155078
1,04/06/2010,80.69,2.705,211.176,7.808,151315
5,04/06/2010,79.54,2.705,211.733,6.465,34875
32,04/06/2010,66.69,2.7,189.423,8.963,203007
16,04/06/2010,53.76,2.7,189.423,6.842,57197
44,04/06/2010,59.85,2.871,126.136,7.972,39910
39,04/06/2010,79.83,2.705,209.94,8.464,184109
23,04/06/2010,64.94,2.857,132.365,5.435,114533
13,04/06/2010,59.85,2.871,126.136,8.107,219622
35,04/06/2010,74.29,2.847,136.218,9.051,103681
40,04/06/2010,65.7,2.857,132.365,5.435,155083
15,04/06/2010,69.99,3.006,132.365,8.185,123737
33,04/06/2010,86.06,2.941,126.136,9.849,39690
45,04/16/2010,54.28,2.899,181.692,8.899,118221
40,04/16/2010,43.3,2.885,131.981,5.435,155083
20,04/16/2010,55.43,2.899,203.731,7.856,203742
38,04/16/2010,64.95,3.109,126.562,14.099,39690
1,04/16/2010,66.32,2.808,210.489,7.808,151315
42,04/16/2010,69.74,3.109,126.562,9.524,39690
26,04/16/2010,36.6,2.885,131.981,8.512,152513
29,04/16/2010,51.14,2.885,131.981,10.16,93638
24,04/16/2010,51.08,3.01,131.981,8.211,203819
21,04/16/2010,67.87,2.808,210.15,8.2,140167
8,04/16/2010,62.66,2.808,213.819,6.29,155078
5,04/16/2010,65.3,2.808,211.039,6.465,34875
9,04/16/2010,66.09,2.808,214.0,6.384,125833
28,04/16/2010,64.95,3.109,126.562,14.099,206302
23,04/16/2010,44.25,2.885,131.981,5.435,114533
27,04/16/2010,54.95,3.01,135.827,8.058,204184
22,04/16/2010,51.14,2.885,135.827,8.348,119557
25,04/16/2010,52.16,2.899,203.731,7.856,128107
39,04/16/2010,66.33,2.808,209.269,8.464,184109
13,04/16/2010,50.39,2.915,126.562,8.107,219622
37,04/16/2010,66.74,2.808,209.269,8.464,39910
16,04/16/2010,45.69,2.765,189.663,6.842,57197
10,04/16/2010,69.74,3.109,126.562,9.524,126512
15,04/16/2010,49.63,3.01,131.981,8.185,123737
3,04/16/2010,66.98,2.808,213.773,7.343,37392
32,04/16/2010,53.49,2.765,189.663,8.963,203007
7,04/16/2010,41.89,2.765,189.663,8.963,70713
12,04/16/2010,64.95,3.109,126.562,14.099,112238
11,04/16/2010,67.81,2.808,213.773,7.343,207499
34,04/16/2010,59.18,2.81,126.562,9.593,158114
17,04/16/2010,45.22,2.915,126.562,6.635,93188
43,04/16/2010,69.46,2.808,202.535,9.593,41062
36,04/16/2010,66.74,2.769,209.269,8.464,39910
6,04/16/2010,65.68,2.808,211.994,7.092,202505
14,04/16/2010,54.28,2.899,181.692,8.899,200898
31,04/16/2010,67.87,2.808,210.15,8.2,203750
33,04/16/2010,72.44,3.109,126.562,9.849,39690
18,04/16/2010,50.26,2.885,131.981,9.269,120653
2,04/16/2010,68.07,2.808,210.15,8.2,202307
30,04/16/2010,67.87,2.808,210.15,8.2,42988
44,04/16/2010,50.39,2.915,126.562,7.972,39910
35,04/16/2010,54.95,2.899,135.827,9.051,103681
41,04/16/2010,46.79,2.765,189.663,7.363,196321
4,04/16/2010,56.23,2.81,126.562,7.896,205863
19,04/16/2010,49.67,3.01,131.981,8.185,203819
