ID,Store,Date,Temperature_Fahrenheit,Fuel_Price_USD,Consumer_Price_Index_CPI,Unemployment_percentage,Size_Sqft
02/04/201032,32,02/04/2010,48.28,2.725,189.705,8.963,203007
02/04/20107,7,02/04/2010,38.26,2.725,189.705,8.963,70713
02/04/201019,19,02/04/2010,45.26,2.957,131.902,8.185,203819
02/04/201016,16,02/04/2010,36.19,2.725,189.705,6.842,57197
02/04/201013,13,02/04/2010,42.15,2.842,126.603,8.107,219622
02/04/201026,26,02/04/2010,36.53,2.826,131.902,8.512,152513
02/04/201044,44,02/04/2010,42.15,2.842,126.603,7.972,39910
02/04/201017,17,02/04/2010,36.94,2.842,126.603,6.635,93188
02/04/201036,36,02/04/2010,63.43,2.708,209.594,8.464,39910
02/04/20104,4,02/04/2010,48.77,2.74,126.603,7.896,205863
02/04/20108,8,02/04/2010,60.18,2.719,214.164,6.29,155078
02/04/201011,11,02/04/2010,66.16,2.719,214.118,7.343,207499
02/04/201038,38,02/04/2010,59.84,3.086,126.603,14.099,39690
02/04/201014,14,02/04/2010,47.74,2.85,181.866,8.899,200898
02/07/201037,37,02/07/2010,81.85,2.669,209.984,8.36,39910
02/07/201018,18,02/07/2010,71.22,2.815,132.522,9.342,120653
02/07/201017,17,02/07/2010,68.98,2.814,126.139,6.697,93188
02/07/20109,9,02/07/2010,78.55,2.669,214.777,6.442,125833
02/07/201031,31,02/07/2010,82.29,2.669,210.88,8.099,203750
02/07/201011,11,02/07/2010,83.09,2.669,214.546,7.346,207499
02/07/201021,21,02/07/2010,82.29,2.669,210.88,8.099,140167
02/07/201015,15,02/07/2010,66.13,2.958,132.522,8.099,123737
02/07/201045,45,02/07/2010,76.61,2.815,182.319,8.743,118221
02/07/20106,6,02/07/2010,80.34,2.669,212.747,6.973,202505
02/07/20102,2,02/07/2010,82.74,2.669,210.88,8.099,202307
02/07/201044,44,02/07/2010,78.82,2.814,126.139,7.804,39910
02/07/201032,32,02/07/2010,74.74,2.728,189.488,9.017,203007
02/07/201030,30,02/07/2010,82.29,2.669,210.88,8.099,42988
02/07/201020,20,02/07/2010,70.1,2.815,204.465,7.527,203742
02/07/201016,16,02/07/2010,64.44,2.728,189.488,6.868,57197
02/07/201033,33,02/07/2010,97.66,2.978,126.139,9.495,39690
02/07/20104,4,02/07/2010,73.66,2.668,126.139,7.372,205863
02/07/20107,7,02/07/2010,61.31,2.728,189.488,9.017,70713
02/07/201010,10,02/07/2010,92.89,2.978,126.139,9.199,126512
02/07/201038,38,02/07/2010,91.98,3.105,126.139,14.18,39690
02/07/201029,29,02/07/2010,72.88,2.815,132.522,10.409,93638
02/07/201019,19,02/07/2010,66.25,2.958,132.522,8.099,203819
02/07/201035,35,02/07/2010,76.25,2.815,136.372,8.861,103681
02/07/20101,1,02/07/2010,80.91,2.669,211.224,7.787,151315
02/07/201022,22,02/07/2010,72.88,2.815,136.372,8.433,119557
02/07/201034,34,02/07/2010,73.66,2.668,126.139,9.816,158114
02/07/201014,14,02/07/2010,76.61,2.815,182.319,8.743,200898
02/07/20108,8,02/07/2010,74.78,2.669,214.593,6.315,155078
02/07/201040,40,02/07/2010,65.47,2.815,132.522,5.326,155083
02/07/201023,23,02/07/2010,64.76,2.815,132.522,5.326,114533
02/07/201036,36,02/07/2010,81.85,2.606,209.984,8.36,39910
02/07/201027,27,02/07/2010,76.25,2.958,136.372,7.982,204184
02/07/201025,25,02/07/2010,66.42,2.815,204.465,7.527,128107
02/07/201013,13,02/07/2010,78.82,2.814,126.139,7.951,219622
02/07/201039,39,02/07/2010,81.35,2.669,209.984,8.36,184109
02/07/201042,42,02/07/2010,92.89,2.978,126.139,9.199,39690
02/07/201024,24,02/07/2010,71.12,2.958,132.522,8.117,203819
02/07/20103,3,02/07/2010,82.2,2.669,214.546,7.346,37392
02/07/201041,41,02/07/2010,69.39,2.728,189.488,7.335,196321
02/07/201026,26,02/07/2010,58.9,2.815,132.522,8.445,152513
02/07/20105,5,02/07/2010,81.25,2.669,211.78,6.496,34875
02/07/201043,43,02/07/2010,80.17,2.669,203.164,9.816,41062
02/07/201028,28,02/07/2010,91.98,3.105,126.139,14.18,206302
02/07/201012,12,02/07/2010,91.98,3.105,126.139,14.18,112238
02/19/201035,35,02/19/2010,32.44,2.745,135.466,9.262,103681
02/19/201038,38,02/19/2010,54.83,2.915,126.526,13.975,39690
02/19/201027,27,02/19/2010,32.44,2.909,135.466,8.237,204184
02/19/201024,24,02/19/2010,31.05,2.909,131.637,8.326,203819
02/19/20104,4,02/19/2010,36.45,2.54,126.526,8.623,205863
02/19/201020,20,02/19/2010,25.43,2.745,204.432,8.187,203742
02/19/20105,5,02/19/2010,41.14,2.514,211.847,6.566,34875
02/19/201036,36,02/19/2010,45.66,2.472,210.045,8.554,39910
02/19/201042,42,02/19/2010,58.22,2.915,126.526,9.765,39690
02/19/201030,30,02/19/2010,39.75,2.514,210.945,8.324,42988
02/19/201031,31,02/19/2010,39.75,2.514,210.945,8.324,203750
02/19/201033,33,02/19/2010,62.16,2.915,126.526,10.115,39690
02/19/201044,44,02/19/2010,35.7,2.654,126.526,8.119,39910
02/19/201040,40,02/19/2010,27.84,2.747,131.637,5.892,155083
02/19/201016,16,02/19/2010,21.13,2.55,189.534,7.039,57197
02/19/201023,23,02/19/2010,26.7,2.747,131.637,5.892,114533
02/19/201019,19,02/19/2010,28.57,2.909,131.637,8.35,203819
02/19/201010,10,02/19/2010,58.22,2.915,126.526,9.765,126512
02/19/20102,2,02/19/2010,39.69,2.514,210.945,8.324,202307
02/19/201015,15,02/19/2010,27.54,2.909,131.637,8.35,123737
02/19/201043,43,02/19/2010,48.77,2.514,203.248,9.521,41062
02/19/201025,25,02/19/2010,24.16,2.745,204.432,8.187,128107
02/19/20101,1,02/19/2010,39.93,2.514,211.289,8.106,151315
02/19/201021,21,02/19/2010,39.75,2.514,210.945,8.324,140167
02/19/201026,26,02/19/2010,22.62,2.747,131.637,8.488,152513
02/19/201028,28,02/19/2010,54.83,2.915,126.526,13.975,206302
02/19/201012,12,02/19/2010,54.83,2.915,126.526,13.975,112238
02/19/20109,9,02/19/2010,43.06,2.514,214.851,6.415,125833
02/19/201029,29,02/19/2010,31.96,2.747,131.637,10.064,93638
02/19/201045,45,02/19/2010,31.27,2.745,182.035,8.992,118221
02/19/201037,37,02/19/2010,45.66,2.514,210.045,8.554,39910
02/19/201017,17,02/19/2010,25.06,2.654,126.526,6.548,93188
02/19/201022,22,02/19/2010,31.96,2.747,135.466,8.283,119557
02/19/201034,34,02/19/2010,38.36,2.54,126.526,9.521,158114
02/19/20108,8,02/19/2010,39.1,2.514,214.666,6.299,155078
02/19/201011,11,02/19/2010,48.3,2.514,214.62,7.368,207499
02/19/201039,39,02/19/2010,43.96,2.514,210.045,8.554,184109
02/19/201013,13,02/19/2010,35.7,2.654,126.526,8.316,219622
02/19/201041,41,02/19/2010,24.13,2.55,189.534,7.541,196321
02/19/201018,18,02/19/2010,30.91,2.747,131.637,9.202,120653
02/19/20106,6,02/19/2010,43.58,2.514,212.816,7.259,202505
02/19/201032,32,02/19/2010,29.16,2.55,189.534,9.014,203007
02/19/20107,7,02/19/2010,27.28,2.55,189.534,9.014,70713
02/19/20103,3,02/19/2010,47.07,2.514,214.62,7.368,37392
02/19/201014,14,02/19/2010,31.27,2.745,182.035,8.992,200898
02/26/201036,36,02/26/2010,50.87,2.52,210.077,8.554,39910
02/26/201024,24,02/26/2010,33.98,2.91,131.686,8.326,203819
02/26/201015,15,02/26/2010,29.87,2.91,131.686,8.35,123737
02/26/20104,4,02/26/2010,41.36,2.59,126.552,8.623,205863
02/26/201038,38,02/26/2010,50.23,2.825,126.552,13.975,39690
02/26/201032,32,02/26/2010,26.64,2.586,189.602,9.014,203007
02/26/201018,18,02/26/2010,35.42,2.753,131.686,9.202,120653
02/26/201041,41,02/26/2010,21.84,2.586,189.602,7.541,196321
02/26/201013,13,02/26/2010,29.98,2.667,126.552,8.316,219622
02/26/201045,45,02/26/2010,34.89,2.754,182.077,8.992,118221
02/26/201025,25,02/26/2010,29.16,2.754,204.463,8.187,128107
02/26/201017,17,02/26/2010,15.64,2.667,126.552,6.548,93188
02/26/20101,1,02/26/2010,46.63,2.561,211.32,8.106,151315
02/26/201031,31,02/26/2010,45.31,2.561,210.976,8.324,203750
02/26/201040,40,02/26/2010,33.32,2.753,131.686,5.892,155083
02/26/201044,44,02/26/2010,29.98,2.667,126.552,8.119,39910
02/26/201011,11,02/26/2010,52.79,2.561,214.648,7.368,207499
02/26/201043,43,02/26/2010,48.77,2.561,203.28,9.521,41062
02/26/201022,22,02/26/2010,35.98,2.753,135.52,8.283,119557
02/26/201010,10,02/26/2010,52.77,2.825,126.552,9.765,126512
02/26/201042,42,02/26/2010,52.77,2.825,126.552,9.765,39690
02/26/20103,3,02/26/2010,52.05,2.561,214.648,7.368,37392
02/26/20102,2,02/26/2010,46.1,2.561,210.976,8.324,202307
02/26/201019,19,02/26/2010,30.33,2.91,131.686,8.35,203819
02/26/201029,29,02/26/2010,35.98,2.753,131.686,10.064,93638
02/26/20109,9,02/26/2010,43.83,2.561,214.878,6.415,125833
02/26/201027,27,02/26/2010,36.0,2.91,135.52,8.237,204184
02/26/20105,5,02/26/2010,46.7,2.561,211.877,6.566,34875
02/26/201023,23,02/26/2010,32.68,2.753,131.686,5.892,114533
02/26/201020,20,02/26/2010,32.32,2.754,204.463,8.187,203742
02/26/201028,28,02/26/2010,50.23,2.825,126.552,13.975,206302
02/26/201021,21,02/26/2010,45.31,2.561,210.976,8.324,140167
02/26/201033,33,02/26/2010,56.5,2.825,126.552,10.115,39690
02/26/201030,30,02/26/2010,45.31,2.561,210.976,8.324,42988
02/26/20107,7,02/26/2010,24.91,2.586,189.602,9.014,70713
02/26/201014,14,02/26/2010,34.89,2.754,182.077,8.992,200898
02/26/201016,16,02/26/2010,18.12,2.586,189.602,7.039,57197
02/26/20108,8,02/26/2010,37.91,2.561,214.694,6.299,155078
02/26/201035,35,02/26/2010,36.0,2.754,135.52,9.262,103681
02/26/201026,26,02/26/2010,27.32,2.753,131.686,8.488,152513
02/26/20106,6,02/26/2010,47.1,2.561,212.845,7.259,202505
02/26/201012,12,02/26/2010,50.23,2.825,126.552,13.975,112238
02/26/201037,37,02/26/2010,50.87,2.561,210.077,8.554,39910
02/26/201034,34,02/26/2010,37.28,2.59,126.552,9.521,158114
02/26/201039,39,02/26/2010,49.79,2.561,210.077,8.554,184109
03/09/201041,41,03/09/2010,64.13,2.773,190.362,7.335,196321
03/09/201016,16,03/09/2010,58.02,2.773,190.362,6.868,57197
03/09/201012,12,03/09/2010,83.12,3.087,126.102,14.18,112238
03/09/20103,3,03/09/2010,84.16,2.577,214.848,7.346,37392
03/09/201011,11,03/09/2010,84.94,2.577,214.848,7.346,207499
03/09/201033,33,03/09/2010,90.82,3.087,126.102,9.495,39690
03/09/201013,13,03/09/2010,65.71,2.868,126.102,7.951,219622
03/09/201044,44,03/09/2010,65.71,2.868,126.102,7.804,39910
03/09/201034,34,03/09/2010,72.59,2.584,126.102,9.816,158114
03/09/201035,35,03/09/2010,78.52,2.715,136.589,8.861,103681
03/09/201014,14,03/09/2010,78.37,2.715,182.604,8.743,200898
03/09/201032,32,03/09/2010,70.2,2.773,190.362,9.017,203007
03/09/20106,6,03/09/2010,82.15,2.577,213.052,6.973,202505
03/09/201015,15,03/09/2010,73.17,2.86,132.725,8.099,123737
03/09/201036,36,03/09/2010,82.29,2.533,210.297,8.36,39910
03/09/20105,5,03/09/2010,84.06,2.577,212.087,6.496,34875
03/09/20109,9,03/09/2010,82.47,2.577,215.078,6.442,125833
03/09/201025,25,03/09/2010,71.17,2.715,204.758,7.527,128107
03/09/20108,8,03/09/2010,76.14,2.577,214.895,6.315,155078
03/09/201023,23,03/09/2010,72.91,2.735,132.725,5.326,114533
03/09/201024,24,03/09/2010,73.52,2.86,132.725,8.117,203819
03/09/20101,1,03/09/2010,81.21,2.577,211.531,7.787,151315
03/09/201019,19,03/09/2010,74.69,2.86,132.725,8.099,203819
03/09/20102,2,03/09/2010,81.83,2.577,211.189,8.099,202307
03/09/201045,45,03/09/2010,78.37,2.715,182.604,8.743,118221
03/09/201042,42,03/09/2010,83.8,3.087,126.102,9.199,39690
03/09/201038,38,03/09/2010,83.12,3.087,126.102,14.18,39690
03/09/201026,26,03/09/2010,66.93,2.735,132.725,8.445,152513
03/09/201029,29,03/09/2010,75.85,2.735,132.725,10.409,93638
03/09/201010,10,03/09/2010,83.8,3.087,126.102,9.199,126512
03/09/20104,4,03/09/2010,76.8,2.584,126.102,7.372,205863
03/09/201020,20,03/09/2010,75.5,2.715,204.758,7.527,203742
03/09/201021,21,03/09/2010,82.57,2.577,211.189,8.099,140167
03/09/201030,30,03/09/2010,82.57,2.577,211.189,8.099,42988
03/09/20107,7,03/09/2010,49.84,2.773,190.362,9.017,70713
03/09/201039,39,03/09/2010,82.13,2.577,210.297,8.36,184109
03/09/201022,22,03/09/2010,75.85,2.735,136.589,8.433,119557
03/09/201017,17,03/09/2010,57.86,2.868,126.102,6.697,93188
03/09/201040,40,03/09/2010,70.66,2.735,132.725,5.326,155083
03/09/201027,27,03/09/2010,78.52,2.86,136.589,7.982,204184
03/09/201037,37,03/09/2010,82.29,2.577,210.297,8.36,39910
03/09/201031,31,03/09/2010,82.57,2.577,211.189,8.099,203750
03/09/201028,28,03/09/2010,83.12,3.087,126.102,14.18,206302
03/09/201018,18,03/09/2010,75.42,2.735,132.725,9.342,120653
03/09/201043,43,03/09/2010,80.43,2.577,203.451,9.816,41062
03/12/201026,26,03/12/2010,27.73,3.065,132.757,8.149,152513
03/12/20104,4,03/12/2010,46.4,2.727,126.731,7.127,205863
03/12/201012,12,03/12/2010,43.33,3.041,126.731,14.313,112238
03/12/201020,20,03/12/2010,35.47,3.046,204.825,7.484,203742
03/12/201015,15,03/12/2010,36.0,3.2,132.757,8.067,123737
03/12/201027,27,03/12/2010,41.81,3.2,136.608,8.021,204184
03/12/201022,22,03/12/2010,39.42,3.065,136.608,8.572,119557
03/12/20103,3,03/12/2010,53.76,2.708,214.915,7.564,37392
03/12/201023,23,03/12/2010,34.3,3.065,132.757,5.287,114533
03/12/201038,38,03/12/2010,43.33,3.041,126.731,14.313,39690
03/12/20107,7,03/12/2010,21.88,2.712,190.993,9.137,70713
03/12/201034,34,03/12/2010,34.7,2.727,126.731,10.21,158114
03/12/201014,14,03/12/2010,40.93,3.046,182.668,8.724,200898
03/12/201039,39,03/12/2010,53.55,2.708,210.376,8.476,184109
03/12/20109,9,03/12/2010,49.89,2.708,215.145,6.56,125833
03/12/201033,33,03/12/2010,52.82,3.041,126.731,9.265,39690
03/12/201045,45,03/12/2010,40.93,3.046,182.668,8.724,118221
03/12/20108,8,03/12/2010,42.85,2.708,214.962,6.433,155078
03/12/201021,21,03/12/2010,50.43,2.708,211.266,8.163,140167
03/12/201028,28,03/12/2010,43.33,3.041,126.731,14.313,206302
03/12/201036,36,03/12/2010,54.44,2.694,210.376,8.476,39910
03/12/201040,40,03/12/2010,33.6,3.065,132.757,5.287,155083
03/12/201013,13,03/12/2010,25.8,2.812,126.731,7.795,219622
03/12/20105,5,03/12/2010,51.31,2.708,212.161,6.768,34875
03/12/201030,30,03/12/2010,50.43,2.708,211.266,8.163,42988
03/12/201042,42,03/12/2010,51.17,3.041,126.731,9.003,39690
03/12/201032,32,03/12/2010,35.18,2.712,190.993,9.137,203007
03/12/201016,16,03/12/2010,23.68,2.712,190.993,6.986,57197
03/12/201035,35,03/12/2010,41.81,3.046,136.608,8.763,103681
03/12/20102,2,03/12/2010,49.33,2.708,211.266,8.163,202307
03/12/201025,25,03/12/2010,32.41,3.046,204.825,7.484,128107
03/12/201024,24,03/12/2010,37.08,3.2,132.757,8.275,203819
03/12/201037,37,03/12/2010,54.44,2.708,210.376,8.476,39910
03/12/201018,18,03/12/2010,37.09,3.065,132.757,9.331,120653
03/12/201044,44,03/12/2010,25.8,2.812,126.731,7.61,39910
03/12/201010,10,03/12/2010,51.17,3.041,126.731,9.003,126512
03/12/20106,6,03/12/2010,52.3,2.708,213.124,7.007,202505
03/12/201029,29,03/12/2010,39.42,3.065,132.757,10.524,93638
03/12/201031,31,03/12/2010,50.43,2.708,211.266,8.163,203750
03/12/20101,1,03/12/2010,49.27,2.708,211.607,7.838,151315
03/12/201043,43,03/12/2010,44.56,2.708,203.571,10.21,41062
03/12/201041,41,03/12/2010,33.0,2.712,190.993,7.508,196321
03/12/201017,17,03/12/2010,22.47,2.812,126.731,6.885,93188
03/12/201019,19,03/12/2010,36.64,3.2,132.757,8.067,203819
03/12/201011,11,03/12/2010,55.9,2.708,214.915,7.564,207499
03/19/201041,41,03/19/2010,36.7,2.692,189.734,7.541,196321
03/19/20101,1,03/19/2010,54.58,2.72,211.216,8.106,151315
03/19/201023,23,03/19/2010,43.01,2.834,131.824,5.892,114533
03/19/201025,25,03/19/2010,45.0,2.844,204.378,8.187,128107
03/19/201043,43,03/19/2010,56.0,2.72,203.195,9.521,41062
03/19/201014,14,03/19/2010,48.79,2.844,182.078,8.992,200898
03/19/201024,24,03/19/2010,46.09,2.96,131.824,8.326,203819
03/19/201036,36,03/19/2010,59.56,2.701,209.98,8.554,39910
03/19/201035,35,03/19/2010,49.04,2.844,135.668,9.262,103681
03/19/201044,44,03/19/2010,42.49,2.782,126.607,8.119,39910
03/19/201027,27,03/19/2010,49.04,2.96,135.668,8.237,204184
03/19/201026,26,03/19/2010,35.34,2.834,131.824,8.488,152513
03/19/20108,8,03/19/2010,47.26,2.72,214.576,6.299,155078
03/19/201040,40,03/19/2010,40.54,2.834,131.824,5.892,155083
03/19/201012,12,03/19/2010,59.57,3.054,126.607,13.975,112238
03/19/201013,13,03/19/2010,42.49,2.782,126.607,8.316,219622
03/19/201039,39,03/19/2010,58.62,2.72,209.98,8.554,184109
03/19/201017,17,03/19/2010,33.96,2.782,126.607,6.548,93188
03/19/201045,45,03/19/2010,48.79,2.844,182.078,8.992,118221
03/19/201018,18,03/19/2010,45.42,2.834,131.824,9.202,120653
03/19/201032,32,03/19/2010,42.43,2.692,189.734,9.014,203007
03/19/201031,31,03/19/2010,54.68,2.72,210.873,8.324,203750
03/19/20106,6,03/19/2010,56.55,2.72,212.735,7.259,202505
03/19/201019,19,03/19/2010,43.74,2.96,131.824,8.35,203819
03/19/201038,38,03/19/2010,59.57,3.054,126.607,13.975,39690
03/19/201037,37,03/19/2010,59.56,2.72,209.98,8.554,39910
03/19/20104,4,03/19/2010,55.19,2.743,126.607,8.623,205863
03/19/201016,16,03/19/2010,33.45,2.692,189.734,7.039,57197
03/19/201030,30,03/19/2010,54.68,2.72,210.873,8.324,42988
03/19/201033,33,03/19/2010,64.6,3.054,126.607,10.115,39690
03/19/20102,2,03/19/2010,54.52,2.72,210.873,8.324,202307
03/19/201010,10,03/19/2010,61.46,3.054,126.607,9.765,126512
03/19/201020,20,03/19/2010,47.32,2.844,204.378,8.187,203742
03/19/201021,21,03/19/2010,54.68,2.72,210.873,8.324,140167
03/19/201034,34,03/19/2010,45.86,2.743,126.607,9.521,158114
03/19/201022,22,03/19/2010,46.03,2.834,135.668,8.283,119557
03/19/20105,5,03/19/2010,55.46,2.72,211.771,6.566,34875
03/19/201028,28,03/19/2010,59.57,3.054,126.607,13.975,206302
03/19/20109,9,03/19/2010,53.15,2.72,214.76,6.415,125833
03/19/20107,7,03/19/2010,29.04,2.692,189.734,9.014,70713
03/19/201029,29,03/19/2010,46.03,2.834,131.824,10.064,93638
03/19/201015,15,03/19/2010,44.69,2.96,131.824,8.35,123737
03/19/20103,3,03/19/2010,60.42,2.72,214.53,7.368,37392
03/19/201042,42,03/19/2010,61.46,3.054,126.607,9.765,39690
03/19/201011,11,03/19/2010,61.51,2.72,214.53,7.368,207499
03/26/20109,9,03/26/2010,51.8,2.732,214.553,6.415,125833
03/26/201040,40,03/26/2010,39.51,2.831,131.863,5.892,155083
03/26/201012,12,03/26/2010,60.06,3.083,126.605,13.975,112238
03/26/20108,8,03/26/2010,46.51,2.732,214.37,6.299,155078
03/26/201038,38,03/26/2010,60.06,3.083,126.605,13.975,39690
03/26/20104,4,03/26/2010,39.91,2.752,126.605,8.623,205863
03/26/201043,43,03/26/2010,54.53,2.732,203.017,9.521,41062
03/26/201036,36,03/26/2010,55.76,2.711,209.787,8.554,39910
03/26/20107,7,03/26/2010,23.33,2.717,189.72,9.014,70713
03/26/201039,39,03/26/2010,54.83,2.732,209.787,8.554,184109
03/26/201010,10,03/26/2010,60.05,2.98,126.605,9.765,126512
03/26/201044,44,03/26/2010,41.48,2.819,126.605,8.119,39910
03/26/201037,37,03/26/2010,55.76,2.732,209.787,8.554,39910
03/26/201011,11,03/26/2010,58.09,2.732,214.324,7.368,207499
03/26/201016,16,03/26/2010,29.88,2.717,189.72,7.039,57197
03/26/201020,20,03/26/2010,50.49,2.854,204.202,8.187,203742
03/26/201026,26,03/26/2010,35.26,2.831,131.863,8.488,152513
03/26/201034,34,03/26/2010,42.91,2.752,126.605,9.521,158114
03/26/201021,21,03/26/2010,51.66,2.732,210.677,8.324,140167
03/26/201018,18,03/26/2010,47.55,2.831,131.863,9.202,120653
03/26/201015,15,03/26/2010,39.53,2.963,131.863,8.35,123737
03/26/201045,45,03/26/2010,54.36,2.854,181.972,8.992,118221
03/26/201042,42,03/26/2010,60.05,2.98,126.605,9.765,39690
03/26/201029,29,03/26/2010,48.56,2.831,131.863,10.064,93638
03/26/20103,3,03/26/2010,57.06,2.732,214.324,7.368,37392
03/26/201028,28,03/26/2010,60.06,3.083,126.605,13.975,206302
03/26/201023,23,03/26/2010,38.59,2.831,131.863,5.892,114533
03/26/201033,33,03/26/2010,64.09,2.98,126.605,10.115,39690
03/26/201027,27,03/26/2010,52.34,2.963,135.707,8.237,204184
03/26/201022,22,03/26/2010,48.56,2.831,135.707,8.283,119557
03/26/201032,32,03/26/2010,36.59,2.717,189.72,9.014,203007
03/26/20102,2,03/26/2010,51.26,2.732,210.677,8.324,202307
03/26/201017,17,03/26/2010,35.59,2.819,126.605,6.548,93188
03/26/20106,6,03/26/2010,53.74,2.732,212.534,7.259,202505
03/26/20105,5,03/26/2010,52.47,2.732,211.572,6.566,34875
03/26/201013,13,03/26/2010,41.48,2.819,126.605,8.316,219622
